name,muscle_group,exercise_type,tracking_type,icon,color,instructions,is_custom
Barbell Bench Press,Chest,Heavy,weight_reps,barbell,,"Set your feet, squeeze the bar, and lower to mid-chest under control. Press up while keeping your shoulder blades pinned back.",false
Incline Dumbbell Press,Chest,Compound,weight_reps,dumbbell,,"Set a slight incline and keep wrists stacked over elbows. Press up and slightly in without bouncing at the bottom.",false
Dumbbell Floor Press,Chest,Compound,weight_reps,dumbbell,,"Lie on the floor and pause triceps on the ground each rep. Press with a tight upper back and neutral wrists.",false
Push-Up,Chest,Compound,weighted_bodyweight,bodyweight,,"Brace your core and keep a straight line from head to heels. Lower until chest is near the floor and drive back up.",false
Weighted Push-Up,Chest,Heavy,weighted_bodyweight,bodyweight,,"Add load securely and keep your elbows at about 45 degrees. Maintain full-body tension throughout.",false
Cable Chest Fly,Chest,Isolation,weight_reps,cable,,"Keep a soft bend in the elbows and move from the shoulders. Bring hands together in front of the chest and squeeze.",false
Dumbbell Fly,Chest,Isolation,weight_reps,dumbbell,,"Lower with control and keep elbows slightly bent. Stretch across the chest, then squeeze up without clanging dumbbells.",false
Machine Chest Press,Chest,Compound,weight_reps,machine,,"Set the seat so handles align with mid-chest. Press smoothly and keep shoulders down and back.",false
Chest-Supported Push-Up Hold,Chest,Isolation,duration,bodyweight,,"Lower into a strong mid-range push-up position and hold. Keep ribs down and breathe slowly.",false
Pec Deck Fly,Chest,Isolation,weight_reps,machine,,"Keep your back on the pad and lead with elbows. Squeeze at the front, then return under control.",false
Pull-Up,Back,Compound,weighted_bodyweight,pullup_bar,,"Start from a dead hang and pull chest toward the bar. Keep ribs down and avoid swinging.",false
Chin-Up,Back,Compound,weighted_bodyweight,pullup_bar,,"Use a shoulder-width underhand grip and pull smoothly. Control the descent to a full hang.",false
Weighted Pull-Up,Back,Heavy,weighted_bodyweight,pullup_bar,,"Add weight securely and keep your body tight. Pull high and lower slowly to full extension.",false
Lat Pulldown,Back,Compound,weight_reps,cable,,"Pull the bar to upper chest while keeping shoulders down. Control the return and avoid leaning back excessively.",false
Seated Cable Row,Back,Compound,weight_reps,cable,,"Sit tall and row toward your lower ribs. Squeeze your shoulder blades together, then reach forward under control.",false
One-Arm Dumbbell Row,Back,Compound,weight_reps,dumbbell,,"Brace with a flat back and pull elbow toward your hip. Pause briefly at the top and lower slowly.",false
Chest-Supported T-Bar Row,Back,Heavy,weight_reps,machine,,"Press chest into the pad and row without jerking. Keep your neck neutral and squeeze at peak contraction.",false
Barbell Bent-Over Row,Back,Heavy,weight_reps,barbell,,"Hinge to a strong torso angle and keep core braced. Row to your midsection and lower with control.",false
Straight-Arm Pulldown,Back,Isolation,weight_reps,cable,,"Keep elbows mostly straight and pull the bar to your thighs. Feel lats engage without shrugging.",false
Face Pull,Back,Isolation,weight_reps,cable,,"Pull the rope toward your nose with elbows high. Rotate so knuckles point back and squeeze rear delts and upper back.",false
Romanian Deadlift,Legs,Heavy,weight_reps,barbell,,"Hinge at the hips with a long spine and soft knees. Lower until hamstrings stretch, then drive hips forward.",false
Back Squat,Legs,Heavy,weight_reps,barbell,,"Brace, sit down and back, and keep knees tracking over toes. Stand tall without losing midline tension.",false
Front Squat,Legs,Heavy,weight_reps,barbell,,"Keep elbows high and torso upright. Descend under control, then drive up through midfoot.",false
Goblet Squat,Legs,Compound,weight_reps,dumbbell,,"Hold the weight close and keep chest proud. Sit between your hips and stand smoothly.",false
Bulgarian Split Squat,Legs,Compound,weight_reps,dumbbell,,"Keep front foot planted and torso slightly forward. Lower until front thigh is near parallel, then drive up.",false
Walking Lunge,Legs,Compound,weight_reps,dumbbell,,"Step long enough to keep front knee over midfoot. Push through the front heel and keep hips level.",false
Leg Press,Legs,Heavy,weight_reps,machine,,"Set feet mid-platform and lower until knees track comfortably. Press without locking out hard.",false
Leg Extension,Legs,Isolation,weight_reps,machine,,"Set the pad above your ankles and lift smoothly. Pause at the top, then lower without slamming.",false
Hamstring Curl Machine,Legs,Isolation,weight_reps,machine,,"Keep hips down and curl through full range. Control the eccentric for better hamstring tension.",false
Standing Calf Raise,Legs,Isolation,weight_reps,machine,,"Rise onto the balls of your feet and squeeze at the top. Lower slowly to a full stretch at the bottom.",false
Overhead Press,Shoulders,Heavy,weight_reps,barbell,,"Brace your core and press straight overhead. Keep ribs down and lock out with biceps near ears.",false
Seated Dumbbell Shoulder Press,Shoulders,Compound,weight_reps,dumbbell,,"Press up without arching the lower back. Control down to just below chin level.",false
Arnold Press,Shoulders,Compound,weight_reps,dumbbell,,"Rotate smoothly from palms-in to palms-out as you press. Keep elbows slightly forward and avoid flaring hard.",false
Dumbbell Lateral Raise,Shoulders,Isolation,weight_reps,dumbbell,,"Lift to shoulder height with a slight elbow bend. Lead with elbows and avoid shrugging.",false
