name,muscle_group,exercise_type,tracking_type,icon,color,instructions
Assisted Pull Up,Back,Compound,weighted_bodyweight,pullup_bar,,"Use the machine or band for assistance and start from a full hang. Pull your chest toward the bar with controlled movement."
Barbell Back Squat,Legs,Heavy,weight_reps,barbell,,"Brace your core, sit down and back, and keep knees tracking over toes. Drive up through midfoot to stand."
Barbell Row,Back,Heavy,weight_reps,barbell,,"Hinge at the hips with a flat back and row the bar toward your stomach. Lower under control without jerking."
Bench Press,Chest,Heavy,weight_reps,barbell,,"Lower the bar to mid-chest with control and press up powerfully. Keep shoulder blades retracted throughout."
Bicep Curl,Arms,Isolation,weight_reps,dumbbell,,"Keep elbows close to your sides and curl the weight up smoothly. Lower slowly to full extension."
Cable Crossover,Chest,Isolation,weight_reps,cable,,"Maintain a slight bend in the elbows and bring hands together in front of your chest. Squeeze, then return under control."
Cable Crunches,Core,Isolation,weight_reps,cable,,"Kneel facing the cable and crunch by rounding the spine. Pull ribs toward hips, not with your arms."
Calf Raises,Legs,Isolation,weight_reps,machine,,"Rise onto the balls of your feet and squeeze calves at the top. Lower slowly into a full stretch."
Deadlift,Full Body,Heavy,weight_reps,barbell,,"Set a tight back, push the floor away, and stand tall. Lower the bar with control while hinging at the hips."
Decline Bench Press,Chest,Heavy,weight_reps,barbell,,"Lower the bar to lower chest and press upward smoothly. Keep glutes and shoulders firmly on the bench."
Dumbbell Flyes,Chest,Isolation,weight_reps,dumbbell,,"Lower arms wide with a slight elbow bend until chest stretches. Bring dumbbells together by squeezing the chest."
Face Pulls,Shoulders,Isolation,weight_reps,cable,,"Pull the rope toward your face with elbows high. Squeeze rear delts and upper back at the end."
Front Raises,Shoulders,Isolation,weight_reps,dumbbell,,"Lift the weights to shoulder height with straight but relaxed arms. Lower slowly without swinging."
Hammer Curl,Arms,Isolation,weight_reps,dumbbell,,"Curl with palms facing each other and keep torso still. Control both lifting and lowering phases."
Hanging Leg Raises,Core,Heavy,weighted_bodyweight,pullup_bar,,"Hang from the bar and raise legs using your abs. Avoid swinging and lower under control."
Lateral Raises,Shoulders,Isolation,weight_reps,dumbbell,,"Raise arms out to the sides until shoulder height. Lead with elbows and avoid shrugging."
Leg Curl,Legs,Isolation,weight_reps,machine,,"Curl heels toward glutes while keeping hips down. Control the movement through the full range."
Push-Ups,Chest,Compound,weighted_bodyweight,bodyweight,,"Maintain a straight body line and lower chest toward the floor. Push up while keeping core tight."
Reverse Flyes,Shoulders,Isolation,weight_reps,dumbbell,,"Hinge forward and open arms wide. Focus on squeezing rear shoulders, not swinging the weights."
Skull Crushers,Arms,Isolation,weight_reps,barbell,,"Lower the bar toward your forehead with elbows fixed. Extend arms to full lockout smoothly."
Tricep Pushdown,Arms,Isolation,weight_reps,cable,,"Keep elbows pinned to your sides and extend arms downward. Control the return without using momentum."
Running,Full Body,Cardio,distance_duration,run,,"Run with an upright posture and relaxed shoulders. Maintain a steady pace and controlled breathing."
